date,product,region,units_sold,unit_price,discount,revenue
2025-01-01,Laptop,West,9,650,0.0,5850.0
2025-01-01,Laptop,North,8,650,0.05,4940.0
2025-01-01,Laptop,South,6,650,0.05,3705.0
2025-01-01,Laptop,East,7,650,0.0,4550.0
2025-01-01,Monitor,West,13,220,0.0,2860.0
2025-01-01,Monitor,North,10,220,0.1,1980.0
2025-01-01,Monitor,South,12,220,0.0,2640.0
2025-01-01,Monitor,East,3,220,0.0,660.0
2025-01-01,Keyboard,West,17,45,0.0,765.0
2025-01-01,Keyboard,North,15,45,0.0,675.0
2025-01-01,Keyboard,South,20,45,0.15,765.0
2025-01-01,Keyboard,East,23,45,0.0,1035.0
2025-01-01,Mouse,West,34,25,0.05,807.5
2025-01-01,Mouse,North,29,25,0.0,725.0
2025-01-01,Mouse,South,16,25,0.05,380.0
2025-01-01,Mouse,East,24,25,0.0,600.0
2025-01-01,Headset,West,12,60,0.05,684.0
2025-01-01,Headset,North,17,60,0.0,1020.0
2025-01-01,Headset,South,13,60,0.05,741.0
2025-01-01,Headset,East,16,60,0.05,912.0
2025-01-01,Printer,West,3,180,0.05,513.0
2025-01-01,Printer,North,7,180,0.0,1260.0
2025-01-01,Printer,South,9,180,0.1,1458.0
2025-01-01,Printer,East,6,180,0.05,1026.0
2025-01-01,Router,West,15,80,0.0,1200.0
2025-01-01,Router,North,12,80,0.05,912.0
2025-01-01,Router,South,22,80,0.05,1672.0
2025-01-01,Router,East,12,80,0.0,960.0
2025-01-01,Webcam,West,11,55,0.0,605.0
2025-01-01,Webcam,North,10,55,0.0,550.0
2025-01-01,Webcam,South,7,55,0.05,365.75
2025-01-01,Webcam,East,7,55,0.1,346.5
2025-01-02,Laptop,West,10,650,0.0,6500.0
2025-01-02,Laptop,North,11,650,0.1,6435.0
2025-01-02,Laptop,South,2,650,0.05,1235.0
2025-01-02,Laptop,East,4,650,0.0,2600.0
2025-01-02,Monitor,West,14,220,0.0,3080.0
2025-01-02,Monitor,North,11,220,0.0,2420.0
2025-01-02,Monitor,South,12,220,0.0,2640.0
2025-01-02,Monitor,East,12,220,0.1,2376.0
2025-01-02,Keyboard,West,19,45,0.1,769.5
2025-01-02,Keyboard,North,15,45,0.1,607.5
2025-01-02,Keyboard,South,14,45,0.05,598.5
2025-01-02,Keyboard,East,27,45,0.05,1154.25
2025-01-02,Mouse,West,20,25,0.15,425.0
2025-01-02,Mouse,North,19,25,0.1,427.5
2025-01-02,Mouse,South,26,25,0.05,617.5
2025-01-02,Mouse,East,24,25,0.1,540.0
2025-01-02,Headset,West,20,60,0.05,1140.0
2025-01-02,Headset,North,15,60,0.05,855.0
2025-01-02,Headset,South,9,60,0.0,540.0
2025-01-02,Headset,East,13,60,0.05,741.0
2025-01-02,Printer,West,4,180,0.1,648.0
2025-01-02,Printer,North,6,180,0.0,1080.0
2025-01-02,Printer,South,9,180,0.0,1620.0
2025-01-02,Printer,East,5,180,0.0,900.0
2025-01-02,Router,West,13,80,0.05,988.0
2025-01-02,Router,North,16,80,0.15,1088.0
2025-01-02,Router,South,15,80,0.05,1140.0
2025-01-02,Router,East,14,80,0.0,1120.0
2025-01-02,Webcam,West,13,55,0.0,715.0
2025-01-02,Webcam,North,5,55,0.05,261.25
2025-01-02,Webcam,South,6,55,0.0,330.0
2025-01-02,Webcam,East,7,55,0.05,365.75
2025-01-03,Laptop,West,12,650,0.0,7800.0
2025-01-03,Laptop,North,5,650,0.1,2925.0
2025-01-03,Laptop,South,8,650,0.1,4680.0
2025-01-03,Laptop,East,15,650,0.1,8775.0
2025-01-03,Monitor,West,10,220,0.1,1980.0
2025-01-03,Monitor,North,5,220,0.15,935.0
2025-01-03,Monitor,South,12,220,0.05,2508.0
2025-01-03,Monitor,East,10,220,0.0,2200.0
2025-01-03,Keyboard,West,14,45,0.1,567.0
2025-01-03,Keyboard,North,20,45,0.0,900.0
2025-01-03,Keyboard,South,19,45,0.1,769.5
2025-01-03,Keyboard,East,22,45,0.0,990.0
2025-01-03,Mouse,West,27,25,0.1,607.5
2025-01-03,Mouse,North,23,25,0.1,517.5
2025-01-03,Mouse,South,23,25,0.1,517.5
2025-01-03,Mouse,East,19,25,0.0,475.0
2025-01-03,Headset,West,14,60,0.0,840.0
2025-01-03,Headset,North,7,60,0.05,399.0
2025-01-03,Headset,South,10,60,0.1,540.0
2025-01-03,Headset,East,6,60,0.15,306.0
2025-01-03,Printer,West,8,180,0.15,1224.0
2025-01-03,Printer,North,6,180,0.05,1026.0
2025-01-03,Printer,South,8,180,0.1,1296.0
2025-01-03,Printer,East,8,180,0.0,1440.0
2025-01-03,Router,West,11,80,0.0,880.0
2025-01-03,Router,North,18,80,0.0,1440.0
2025-01-03,Router,South,10,80,0.1,720.0
2025-01-03,Router,East,19,80,0.05,1444.0
2025-01-03,Webcam,West,11,55,0.05,574.75
2025-01-03,Webcam,North,12,55,0.0,660.0
2025-01-03,Webcam,South,5,55,0.0,275.0
2025-01-03,Webcam,East,14,55,0.05,731.5
2025-01-04,Laptop,West,7,650,0.0,4550.0
2025-01-04,Laptop,North,7,650,0.0,4550.0
2025-01-04,Laptop,South,3,650,0.0,1950.0
2025-01-04,Laptop,East,6,650,0.1,3510.0
2025-01-04,Monitor,West,13,220,0.1,2574.0
2025-01-04,Monitor,North,16,220,0.0,3520.0
2025-01-04,Monitor,South,10,220,0.0,2200.0
2025-01-04,Monitor,East,11,220,0.0,2420.0
2025-01-04,Keyboard,West,20,45,0.0,900.0
2025-01-04,Keyboard,North,15,45,0.0,675.0
2025-01-04,Keyboard,South,14,45,0.0,630.0
2025-01-04,Keyboard,East,20,45,0.1,810.0
2025-01-04,Mouse,West,29,25,0.05,688.75
2025-01-04,Mouse,North,27,25,0.0,675.0
2025-01-04,Mouse,South,16,25,0.0,400.0
2025-01-04,Mouse,East,29,25,0.0,725.0
2025-01-04,Headset,West,11,60,0.0,660.0
2025-01-04,Headset,North,9,60,0.0,540.0
2025-01-04,Headset,South,9,60,0.1,486.0
2025-01-04,Headset,East,7,60,0.0,420.0
2025-01-04,Printer,West,8,180,0.1,1296.0
2025-01-04,Printer,North,6,180,0.05,1026.0
2025-01-04,Printer,South,4,180,0.0,720.0
2025-01-04,Printer,East,4,180,0.0,720.0
2025-01-04,Router,West,20,80,0.05,1520.0
